EmployeeNumber,Age,Department,JobRole,Gender,Education,MaritalStatus,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,Attrition
53,35,Research & Development,Laboratory Technician,Male,2,Divorced,3,4,3,3,3,No,1,1,0,0,0,1951,12,No
54,27,Research & Development,Laboratory Technician,Female,4,Divorced,3,1,4,3,6,No,1,1,0,0,0,2341,13,No
55,26,Research & Development,Laboratory Technician,Male,3,Single,3,3,1,2,2,No,1,1,0,0,1,2293,12,Yes
56,27,Sales,Sales Executive,Male,3,Single,3,3,4,3,0,No,9,9,8,1,7,8726,15,No
57,30,Research & Development,Laboratory Technician,Female,2,Single,4,4,3,3,2,No,12,12,8,3,7,4011,23,No
58,41,Research & Development,Research Director,Female,3,Married,3,3,2,3,0,No,23,22,15,15,8,19545,12,Yes
60,34,Sales,Sales Executive,Male,4,Single,4,3,2,3,2,No,10,9,5,8,7,4568,20,No
61,37,Research & Development,Research Scientist,Male,2,Married,4,2,2,3,1,No,8,1,0,0,0,3022,21,No
62,46,Sales,Sales Executive,Male,4,Single,4,4,1,3,4,Yes,14,9,6,0,8,5772,21,No
63,35,Research & Development,Laboratory Technician,Male,1,Married,3,4,4,3,2,No,1,1,0,0,1,2269,19,No
64,48,Research & Development,Laboratory Technician,Male,2,Single,3,3,1,3,2,Yes,23,1,0,0,0,5381,13,Yes
65,28,Research & Development,Laboratory Technician,Male,4,Single,3,3,3,2,3,Yes,2,2,2,2,2,3441,13,Yes
68,44,Sales,Sales Executive,Female,5,Divorced,4,1,2,2,2,Yes,9,4,3,1,3,5454,21,No
70,35,Research & Development,Healthcare Representative,Male,2,Married,3,1,3,3,3,Yes,10,4,0,2,3,9884,13,No
72,26,Sales,Sales Executive,Female,3,Married,3,4,3,2,2,Yes,5,2,2,0,0,4157,19,No
73,33,Research & Development,Research Director,Female,2,Single,3,4,1,3,1,Yes,15,15,14,8,12,13458,12,No
74,35,Sales,Sales Executive,Male,5,Married,4,1,2,2,3,No,9,9,8,1,8,9069,22,No
75,35,Research & Development,Laboratory Technician,Female,4,Married,3,1,3,3,3,Yes,4,2,2,2,2,4014,15,No
76,31,Research & Development,Laboratory Technician,Male,4,Divorced,4,4,4,2,3,No,10,7,7,1,7,5915,22,No
77,37,Research & Development,Manufacturing Director,Male,4,Divorced,3,3,1,4,2,No,7,7,5,0,7,5993,18,No
78,32,Research & Development,Manufacturing Director,Male,3,Married,4,4,1,3,3,Yes,9,9,8,7,8,6162,22,No
79,38,Research & Development,Laboratory Technician,Female,5,Single,3,4,4,3,2,No,10,10,3,9,9,2406,11,No
80,50,Research & Development,Research Director,Female,2,Divorced,3,3,2,2,2,Yes,29,27,3,13,8,18740,12,No
81,59,Sales,Sales Executive,Female,3,Single,3,1,1,2,3,No,28,21,16,7,9,7637,11,No
83,36,Research & Development,Healthcare Representative,Female,3,Divorced,3,3,3,3,2,No,17,17,14,12,8,10096,13,No
84,55,Research & Development,Manager,Female,3,Divorced,3,3,4,3,2,Yes,21,5,0,0,2,14756,14,No
85,36,Research & Development,Manufacturing Director,Male,3,Single,3,2,2,3,3,No,6,6,5,0,3,6499,13,No
86,45,Research & Development,Research Scientist,Male,3,Divorced,3,1,2,3,2,No,25,1,0,0,0,9724,17,No
88,35,Research & Development,Research Scientist,Male,3,Married,3,1,2,2,2,No,5,3,2,1,2,2194,13,No
90,36,Research & Development,Research Scientist,Male,3,Married,3,3,4,2,0,Yes,2,1,0,0,0,3388,17,Yes
91,59,Sales,Sales Executive,Female,1,Single,3,3,1,2,2,No,20,4,3,1,3,5473,11,No
94,29,Research & Development,Research Scientist,Male,3,Married,4,2,3,3,3,No,6,5,4,0,4,2703,23,No
95,31,Research & Development,Research Scientist,Male,4,Single,3,2,3,3,4,No,1,1,1,1,0,2501,17,No
96,32,Research & Development,Research Scientist,Male,3,Married,3,2,2,3,3,No,10,10,4,0,9,6220,17,No
97,36,Research & Development,Laboratory Technician,Female,3,Married,3,4,2,3,3,No,5,1,0,0,0,3038,12,No
98,31,Research & Development,Manufacturing Director,Female,4,Single,4,4,3,3,2,No,11,11,7,1,8,4424,23,No
100,35,Sales,Sales Executive,Male,4,Single,3,1,3,3,2,No,16,15,13,2,8,4312,14,No
101,45,Research & Development,Research Director,Male,4,Married,3,1,4,4,3,Yes,17,0,0,0,0,13245,14,No
102,37,Research & Development,Research Director,Male,4,Single,3,3,1,4,3,No,16,5,2,0,2,13664,13,No
103,46,Human Resources,Human Resources,Male,2,Divorced,4,2,2,3,2,Yes,16,4,2,0,2,5021,22,No
104,30,Research & Development,Laboratory Technician,Male,1,Married,3,4,4,2,1,Yes,10,10,8,3,0,5126,12,No
105,35,Research & Development,Research Scientist,Male,3,Single,3,3,2,3,3,No,6,6,4,0,4,2859,18,No
106,55,Sales,Sales Executive,Male,2,Married,3,4,1,3,4,No,24,1,0,1,0,10239,14,No
107,38,Research & Development,Research Scientist,Female,3,Divorced,3,4,2,3,3,Yes,17,13,11,1,9,5329,12,No
110,34,Research & Development,Manufacturing Director,Male,2,Married,3,2,1,3,2,No,5,5,2,1,3,4325,15,No
112,56,Research & Development,Manufacturing Director,Male,3,Single,3,4,4,2,3,No,37,6,4,0,2,7260,11,No
113,23,Sales,Sales Representative,Male,1,Divorced,3,1,3,3,3,No,3,0,0,0,0,2322,13,No
116,51,Research & Development,Laboratory Technician,Male,4,Married,4,4,4,3,4,No,10,4,2,0,3,2075,23,No
117,30,Research & Development,Healthcare Representative,Male,3,Married,3,4,3,3,3,No,11,11,10,10,8,4152,19,No
118,46,Sales,Sales Executive,Male,2,Single,3,4,3,3,3,No,9,9,8,4,7,9619,16,Yes
119,40,Research & Development,Healthcare Representative,Male,4,Married,4,2,3,2,3,No,22,22,3,11,11,13503,22,No
120,51,Sales,Sales Executive,Male,4,Single,4,4,3,1,2,Yes,11,10,7,1,0,5441,22,No
121,30,Sales,Sales Executive,Female,2,Divorced,3,2,3,2,4,Yes,11,11,8,2,7,5209,12,No
124,46,Research & Development,Healthcare Representative,Male,3,Married,3,1,3,2,5,Yes,21,10,9,9,5,10673,13,No
125,32,Sales,Sales Executive,Male,4,Single,3,3,2,3,0,No,12,11,8,5,7,5010,16,No
126,54,Research & Development,Research Director,Female,4,Married,3,3,1,1,5,No,16,4,3,0,3,13549,12,No
128,24,Sales,Sales Executive,Female,2,Married,4,3,1,2,2,No,4,3,2,0,2,4999,21,No
129,28,Sales,Sales Executive,Male,3,Married,3,3,2,4,3,No,5,5,4,0,4,4221,15,No
131,58,Sales,Sales Executive,Male,4,Single,3,3,4,2,1,No,38,37,10,1,8,13872,13,No
132,44,Research & Development,Laboratory Technician,Male,3,Married,3,2,2,4,3,No,17,3,2,1,2,2042,12,No
133,37,Human Resources,Human Resources,Male,4,Divorced,4,1,3,3,3,Yes,7,3,2,0,2,2073,22,Yes
134,32,Research & Development,Research Scientist,Male,1,Single,3,1,4,3,2,No,1,1,0,0,0,2956,13,No
137,20,Research & Development,Laboratory Technician,Female,3,Single,3,4,4,3,5,Yes,1,1,0,1,0,2926,18,Yes
138,34,Research & Development,Research Scientist,Female,4,Single,3,3,1,3,3,No,16,16,13,2,10,4809,14,No
139,37,Research & Development,Healthcare Representative,Male,2,Divorced,3,4,3,4,2,No,17,1,0,0,0,5163,14,No
140,59,Human Resources,Manager,Female,4,Married,4,4,3,3,3,No,30,3,2,2,2,18844,21,No
141,50,Research & Development,Research Director,Female,3,Married,3,2,1,2,1,Yes,28,8,3,0,7,18172,19,No
142,25,Sales,Sales Executive,Male,3,Single,3,3,3,3,1,Yes,6,6,4,0,3,5744,11,Yes
143,25,Research & Development,Research Scientist,Male,1,Married,3,4,4,3,2,No,2,2,2,2,1,2889,11,No
144,22,Research & Development,Laboratory Technician,Female,3,Single,3,4,2,3,5,No,1,0,0,0,0,2871,15,No
145,51,Research & Development,Healthcare Representative,Female,4,Single,4,1,1,2,1,No,23,13,12,12,8,7484,20,No
147,34,Research & Development,Laboratory Technician,Male,3,Single,4,3,1,3,3,Yes,9,9,7,0,6,6074,24,Yes
148,54,Human Resources,Manager,Female,3,Single,3,4,4,3,3,Yes,23,5,3,4,4,17328,12,No
150,24,Research & Development,Laboratory Technician,Male,1,Married,3,3,2,3,2,No,6,5,3,1,2,2774,12,No
151,34,Research & Development,Research Scientist,Female,4,Divorced,3,2,3,3,3,No,12,1,0,0,0,4505,15,No
152,37,Sales,Sales Executive,Male,3,Single,3,4,3,3,3,No,12,5,3,1,3,7428,12,No
153,34,Research & Development,Manager,Female,3,Single,3,1,3,3,6,No,14,11,10,5,8,11631,12,No
154,36,Sales,Sales Executive,Female,2,Married,3,4,2,3,6,No,10,9,7,2,8,9738,14,No
155,36,Research & Development,Laboratory Technician,Female,2,Divorced,4,4,1,3,2,No,7,1,0,0,0,2835,22,No
158,43,Sales,Manager,Male,2,Married,3,4,3,4,3,Yes,25,25,12,4,12,16959,12,No
159,30,Research & Development,Research Scientist,Male,3,Divorced,4,3,1,2,2,No,10,10,7,0,9,2613,25,No
160,33,Sales,Sales Executive,Male,2,Married,3,2,3,4,2,No,8,7,7,0,7,6146,13,No
161,56,Research & Development,Research Scientist,Female,4,Married,3,2,2,3,2,Yes,7,5,4,4,3,4963,18,Yes
162,51,Research & Development,Research Director,Male,3,Single,3,3,1,3,5,No,23,20,18,15,15,19537,13,No
163,31,Sales,Sales Executive,Male,4,Married,3,3,2,2,3,Yes,12,7,7,7,7,6172,18,Yes
164,26,Research & Development,Research Scientist,Female,3,Married,3,2,3,2,3,No,5,5,4,4,3,2368,19,No
165,58,Research & Development,Healthcare Representative,Female,4,Married,3,4,4,2,3,No,40,40,10,15,6,10312,12,Yes
167,19,Sales,Sales Representative,Male,1,Single,3,3,4,2,2,Yes,0,0,0,0,0,1675,19,Yes
169,22,Research & Development,Laboratory Technician,Male,1,Married,3,4,3,3,2,No,3,2,1,2,1,2523,14,No
170,49,Research & Development,Manufacturing Director,Female,4,Married,3,1,3,2,2,No,16,15,11,5,11,6567,14,No
171,43,Research & Development,Research Scientist,Female,3,Single,3,3,2,3,2,No,18,3,2,1,2,4739,12,No
174,50,Sales,Sales Executive,Female,3,Single,3,4,3,3,3,No,16,2,2,2,1,9208,11,No
175,31,Sales,Sales Executive,Female,3,Married,3,3,2,3,2,Yes,4,2,2,2,2,4559,11,Yes
176,41,Sales,Sales Executive,Male,1,Divorced,3,3,3,3,2,Yes,12,9,7,0,7,8189,13,No
177,26,Human Resources,Human Resources,Female,1,Married,4,3,3,3,3,No,8,8,7,5,7,2942,23,No
178,36,Research & Development,Manufacturing Director,Male,2,Divorced,4,2,2,3,0,No,7,3,2,0,1,4941,20,No
179,51,Research & Development,Manufacturing Director,Male,4,Single,3,4,1,3,2,No,18,4,2,0,3,10650,15,Yes
182,39,Sales,Sales Executive,Female,4,Married,3,3,4,4,1,No,17,15,11,5,9,5902,14,No
183,25,Sales,Sales Executive,Male,3,Married,3,3,1,3,3,No,6,2,2,2,2,8639,18,No
184,30,Human Resources,Human Resources,Male,3,Married,3,4,3,1,2,Yes,12,11,9,4,7,6347,19,No
190,32,Research & Development,Laboratory Technician,Female,3,Single,4,1,1,4,2,No,10,5,4,0,4,4200,22,Yes
192,45,Research & Development,Research Scientist,Male,3,Single,3,4,3,2,2,No,9,6,5,0,3,3452,13,No
193,38,Research & Development,Research Scientist,Female,5,Single,4,3,4,3,2,Yes,19,3,2,2,2,4317,20,No
194,30,Research & Development,Research Scientist,Female,3,Single,3,3,1,2,4,No,5,5,4,0,4,2632,14,No
195,32,Sales,Sales Executive,Male,2,Divorced,3,4,4,4,2,No,9,8,7,0,7,4668,17,No
197,30,Research & Development,Research Scientist,Female,3,Divorced,3,1,4,3,3,No,8,3,2,2,2,3204,14,No
198,30,Research & Development,Laboratory Technician,Male,1,Single,3,4,2,3,3,No,6,5,3,1,2,2720,13,No
199,41,Research & Development,Manager,Male,3,Divorced,3,1,4,2,2,No,21,7,6,7,7,17181,13,No
200,41,Research & Development,Laboratory Technician,Male,4,Married,4,1,3,3,2,No,7,5,0,1,4,2238,21,No
201,19,Research & Development,Laboratory Technician,Female,1,Single,3,2,2,3,3,No,1,1,0,0,0,1483,14,No
202,40,Research & Development,Research Scientist,Female,3,Divorced,3,2,2,3,2,No,20,20,7,2,13,5605,11,No
204,35,Sales,Sales Executive,Male,5,Married,3,2,3,3,3,No,10,10,8,0,6,7295,13,No
205,53,Sales,Sales Representative,Male,2,Married,4,3,2,1,3,Yes,13,7,7,4,5,2306,20,No
206,45,Research & Development,Laboratory Technician,Male,3,Divorced,3,2,2,1,2,No,20,17,9,0,15,2348,18,No
207,32,Sales,Sales Executive,Female,3,Single,3,4,2,3,2,No,9,9,8,3,7,8998,14,No
208,29,Research & Development,Manufacturing Director,Male,1,Married,3,3,4,3,1,No,10,10,7,0,9,4319,13,No
211,51,Research & Development,Manufacturing Director,Male,4,Married,3,3,2,3,2,No,10,1,0,0,0,6132,17,No
214,58,Research & Development,Research Scientist,Female,3,Married,4,2,2,2,3,Yes,9,1,0,0,0,3346,20,No
215,40,Sales,Sales Executive,Male,4,Married,3,4,3,2,2,No,15,12,11,2,11,10855,11,No
216,34,Sales,Sales Representative,Female,4,Married,3,3,3,3,3,No,6,4,3,1,2,2231,18,No
217,22,Research & Development,Research Scientist,Male,1,Married,4,4,3,3,6,No,2,2,2,2,2,2323,24,No
218,27,Research & Development,Research Scientist,Male,3,Divorced,3,2,4,1,1,No,6,2,2,2,2,2024,18,No
221,28,Research & Development,Research Scientist,Male,3,Married,3,4,3,1,2,No,5,5,2,0,2,2713,11,No
223,57,Research & Development,Healthcare Representative,Male,2,Divorced,3,4,3,1,2,Yes,12,5,3,1,4,9439,16,No
224,27,Research & Development,Research Scientist,Male,3,Divorced,3,3,3,2,2,Yes,1,1,1,0,1,2566,15,No
226,50,Research & Development,Manager,Female,3,Single,3,2,3,3,5,No,21,5,4,4,4,19926,15,No
227,41,Research & Development,Research Scientist,Male,3,Divorced,3,3,1,3,2,No,13,9,8,1,8,2451,12,No
228,30,Sales,Sales Executive,Female,3,Married,3,4,2,3,2,No,12,10,9,7,4,9419,12,No
230,38,Sales,Sales Executive,Female,4,Single,4,4,1,4,2,No,12,8,3,0,7,8686,22,No
231,32,Research & Development,Research Scientist,Male,5,Single,4,3,3,3,2,No,8,5,4,1,4,3038,20,No
233,27,Research & Development,Research Scientist,Male,3,Married,3,2,3,2,3,Yes,6,5,2,1,1,3058,16,No
235,19,Sales,Sales Representative,Female,1,Single,4,1,3,4,5,No,1,0,0,0,0,2325,21,Yes
238,36,Research & Development,Laboratory Technician,Male,2,Single,3,2,4,2,3,No,13,8,7,7,2,2088,12,No
239,30,Research & Development,Laboratory Technician,Male,3,Divorced,3,1,3,3,4,No,12,12,9,6,10,3072,11,No
240,45,Sales,Sales Executive,Female,2,Divorced,3,1,3,4,3,Yes,9,5,4,0,3,5006,11,No
241,56,Research & Development,Research Scientist,Female,3,Divorced,3,1,3,3,3,Yes,19,2,2,2,2,4257,18,No
242,33,Research & Development,Research Scientist,Male,3,Single,3,4,3,4,2,No,4,3,1,0,2,2500,14,No
243,19,Research & Development,Laboratory Technician,Male,3,Single,4,4,2,2,3,No,1,1,0,1,0,1102,22,Yes
244,46,Sales,Sales Executive,Female,2,Divorced,4,1,2,3,2,No,24,24,13,15,7,10453,25,No
245,38,Research & Development,Laboratory Technician,Female,2,Single,3,4,3,3,3,No,2,2,2,2,1,2288,12,No
246,31,Research & Development,Research Scientist,Female,1,Married,4,4,3,3,0,Yes,7,4,2,0,2,3929,23,No
247,34,Research & Development,Research Scientist,Female,2,Single,3,2,4,3,3,No,9,3,2,1,2,2311,15,No
248,41,Sales,Sales Representative,Female,2,Single,4,2,2,2,5,Yes,4,4,3,0,2,3140,22,Yes
249,50,Research & Development,Laboratory Technician,Male,3,Married,3,3,3,2,2,No,5,3,2,0,2,3690,15,No
250,53,Research & Development,Manufacturing Director,Female,2,Divorced,3,1,4,3,3,No,5,4,2,1,3,4450,11,No
252,33,Research & Development,Research Scientist,Female,3,Married,3,2,4,3,5,No,8,8,7,1,6,2756,13,No
253,40,Research & Development,Manager,Female,1,Married,3,3,4,3,2,No,21,20,8,9,9,19033,14,No
254,55,Research & Development,Research Director,Male,4,Single,3,2,3,3,3,No,36,24,15,2,15,18722,11,No
256,34,Research & Development,Manufacturing Director,Male,1,Married,3,3,4,2,2,No,10,10,9,1,9,9547,17,No
258,51,Research & Development,Healthcare Representative,Female,3,Single,3,2,4,3,6,No,21,7,7,1,0,13734,18,No
259,52,Research & Development,Manager,Male,4,Married,3,3,3,3,5,No,34,33,18,11,9,19999,14,No
260,27,Research & Development,Research Scientist,Female,3,Single,3,2,4,2,2,No,7,7,7,0,3,2279,16,No
261,35,Research & Development,Manufacturing Director,Male,2,Married,3,3,2,3,1,Yes,8,1,0,0,1,5916,13,Yes
262,43,Research & Development,Research Scientist,Male,3,Divorced,3,4,4,4,3,No,7,5,4,2,2,2089,14,No
264,45,Research & Development,Manager,Male,2,Married,4,4,1,3,1,No,22,20,8,11,8,16792,23,No
267,37,Research & Development,Research Scientist,Male,3,Married,3,1,2,2,3,Yes,8,8,7,1,7,3564,12,No
269,35,Research & Development,Laboratory Technician,Female,3,Single,3,2,2,3,5,No,10,6,2,1,2,4425,11,No
270,42,Research & Development,Manufacturing Director,Female,2,Divorced,3,3,3,3,5,No,11,5,3,0,2,5265,16,No
271,38,Research & Development,Manufacturing Director,Male,4,Married,3,3,4,3,3,No,14,1,0,0,0,6553,14,No
273,38,Research & Development,Manufacturing Director,Male,3,Married,3,4,4,1,3,No,9,7,7,1,7,6261,18,No
274,27,Research & Development,Manufacturing Director,Male,1,Married,3,1,3,3,1,No,6,2,2,2,0,4298,19,No
275,49,Research & Development,Manufacturing Director,Male,4,Divorced,3,4,4,3,0,Yes,7,7,7,1,7,6804,15,No
277,34,Research & Development,Research Scientist,Male,4,Divorced,3,3,4,4,4,Yes,5,5,3,2,0,3815,17,No
281,40,Research & Development,Laboratory Technician,Male,2,Married,3,4,3,4,2,Yes,15,7,2,3,7,2741,15,No
282,38,Research & Development,Healthcare Representative,Male,1,Married,3,1,2,3,2,Yes,17,1,0,0,0,6673,19,Yes
283,29,Sales,Sales Executive,Female,3,Married,4,4,2,2,3,No,10,10,4,1,9,7639,22,Yes
284,22,Research & Development,Research Scientist,Male,3,Divorced,3,2,4,2,2,Yes,4,4,2,2,2,2328,16,No
286,36,Research & Development,Laboratory Technician,Female,1,Single,3,4,2,3,2,No,8,8,1,1,7,2153,13,No
287,40,Research & Development,Healthcare Representative,Male,5,Married,3,4,4,1,5,No,5,3,2,0,2,4876,14,No
288,46,Research & Development,Healthcare Representative,Male,4,Divorced,3,1,4,3,3,No,17,4,2,0,3,9396,16,No
291,32,Sales,Sales Executive,Male,4,Married,3,4,4,2,2,No,14,14,8,9,8,10400,11,Yes
292,30,Research & Development,Manufacturing Director,Male,1,Single,4,3,3,3,2,No,12,11,8,5,8,8474,22,No
293,27,Sales,Sales Executive,Female,3,Single,3,3,4,3,2,No,7,7,7,0,7,9981,14,No
296,51,Research & Development,Research Director,Male,4,Married,3,2,2,1,5,No,16,10,9,4,7,12490,16,No
297,30,Research & Development,Research Scientist,Female,3,Single,3,1,4,3,5,Yes,8,5,2,0,4,2657,11,Yes
298,41,Sales,Manager,Female,3,Single,3,4,4,3,3,Yes,16,1,0,0,0,13591,18,No
299,30,Sales,Sales Executive,Female,4,Single,3,1,3,2,5,No,9,6,3,0,1,6696,15,Yes
300,29,Research & Development,Research Scientist,Male,3,Single,3,3,3,2,1,No,7,6,2,1,5,2058,14,Yes
302,45,Sales,Sales Executive,Female,3,Single,3,4,4,3,2,No,23,19,7,12,8,8865,12,No
303,54,Sales,Sales Executive,Female,3,Married,3,1,4,3,4,No,16,6,2,0,5,5940,14,No
304,36,Research & Development,Laboratory Technician,Male,2,Single,3,2,4,4,3,No,16,13,11,3,7,5914,16,No
305,33,Research & Development,Research Scientist,Female,4,Married,4,2,3,3,3,No,7,3,2,1,1,2622,21,No
306,37,Research & Development,Research Director,Male,3,Divorced,3,4,2,3,1,Yes,10,10,8,0,7,12185,14,No
307,38,Sales,Sales Executive,Male,3,Divorced,3,3,1,2,6,No,17,16,10,5,13,10609,12,No
308,31,Research & Development,Manufacturing Director,Male,4,Married,3,3,3,3,2,No,6,5,4,1,4,4345,12,No
309,59,Research & Development,Research Scientist,Male,3,Married,3,4,3,3,6,No,7,1,0,0,0,2177,17,No
311,37,Sales,Sales Representative,Male,4,Divorced,3,4,1,3,2,No,13,9,8,5,8,2793,17,No
312,29,Sales,Sales Executive,Female,1,Married,3,4,2,3,5,No,11,11,10,4,1,7918,14,No
314,35,Sales,Sales Executive,Female,3,Single,3,3,3,4,3,No,10,10,7,0,8,8789,14,No
315,29,Research & Development,Research Scientist,Male,1,Single,3,4,3,2,3,Yes,4,4,3,0,1,2389,13,Yes
316,52,Research & Development,Laboratory Technician,Female,3,Single,3,4,3,2,3,No,6,2,2,2,2,3212,15,No
319,42,Research & Development,Manager,Male,2,Married,3,4,3,3,3,No,22,22,17,11,15,19232,11,No
321,59,Human Resources,Human Resources,Male,2,Married,3,3,2,2,2,No,7,2,2,2,2,2267,17,No
323,50,Sales,Manager,Female,4,Divorced,3,4,4,2,3,No,32,7,0,0,6,19517,11,No
325,33,Research & Development,Laboratory Technician,Male,3,Married,3,4,3,1,2,Yes,8,5,4,0,4,2436,13,Yes
327,43,Sales,Manager,Female,3,Married,4,4,4,3,3,Yes,22,17,13,1,9,16064,22,No
328,33,Research & Development,Laboratory Technician,Female,2,Married,4,1,1,4,3,No,13,9,7,1,7,2707,20,Yes
329,52,Sales,Manager,Male,4,Single,3,3,1,4,2,Yes,33,33,7,15,12,19068,18,No
330,32,Sales,Sales Representative,Female,2,Married,3,2,3,3,5,No,6,4,3,1,2,3931,11,No
331,32,Research & Development,Laboratory Technician,Male,3,Single,3,3,4,1,2,Yes,4,3,2,1,2,3730,14,Yes
332,39,Research & Development,Laboratory Technician,Female,4,Divorced,3,3,3,3,1,No,7,3,2,1,2,2232,14,No
333,32,Sales,Sales Executive,Male,4,Married,3,4,3,3,2,No,4,3,2,2,2,4465,18,No
334,41,Research & Development,Research Scientist,Male,2,Divorced,3,1,3,2,2,No,17,1,0,0,0,3072,16,No
335,40,Research & Development,Research Scientist,Male,2,Divorced,3,4,1,3,3,No,9,9,8,4,7,3319,17,No
336,45,Research & Development,Manager,Male,3,Married,3,4,3,3,2,No,25,24,0,1,7,19202,11,No
337,31,Research & Development,Research Director,Male,4,Divorced,3,3,2,3,3,No,9,2,2,2,2,13675,12,No
338,33,Research & Development,Research Scientist,Female,4,Married,3,4,3,2,2,No,2,2,2,0,2,2911,13,No
